Year,Sample Location,Lab code,Date,Temp,PH,EC(µS/cm),TS(mg/l),TDS(mg/l),SS(mg/l),DO(mg/l),Salinity(%)
2017,"Karnafully River CUFL side  Anowara, Ctg.",403,5/1/2017,22.2,8.1,20450,10414,10228,186,5.6,14.2
2017,"Karnafully River TSP Side, Patenga, Ctg.",404,5/1/2017,22.2,7.9,19984,10190,9992,198,6.1,13.8
2017,"Karnafully River CUFL side  Anowara, Ctg.",437,5/2/2017,21.1,7.3,22580,11494,11292,202,4.8,14.8
2017,"Karnafully River TSP Side, Patenga, Ctg.",438,5/2/2017,21.1,7.9,21356,10906,10678,228,5.4,13.6
2017,"Karnafully River TSP Side, Patenga, Ctg.",471,7/3/2017,25.6,7.3,26330,13476,13168,308,6.1,17.2
2017,"Karnafully River CUFL side  Anowara, Ctg.",472,7/3/2017,25.4,7.5,24990,12838,12496,342,5.9,16.4
2017,"Karnafully River CUFL side Anowara, Ctg.",505,6/4/2017,31.4,7.6,24280,12410,12144,266,5.2,17.4
2017,"Karnafully River TSP Side, Patenga, Ctg.",506,6/4/2017,31.4,8.4,22192,11344,11096,248,4.7,17.1
2017,"Karnafully River CUFL side  Anowara, Ctg.",539,7/5/2017,25.8,7.6,6064,3252,3032,220,6.8,7.4
2017,"Karnafully River TSP Side, Patenga, Ctg.",540,7/5/2017,25.8,7.4,5352,2974,2676,298,6.6,7.3
2017,"Karnafully River CUFL side  Anowara, Ctg.",573,7/6/2017,30.3,7.2,2050,1268,1026,242,6.5,3.1
2017,"Karnafully River TSP Side, Patenga, Ctg.",574,7/6/2017,30.1,7.7,2456,1456,1228,228,6.7,2.6
2017,"Karnafully River CUFL side  Anowara, Ctg.",607,4/7/2016,28.7,6.8,2110,1276,1066,210,6.2,1.55
2017,"Karnafully River TSP Side, Patenga, Ctg.",608,4/7/2016,28.6,7.2,1523,897,765,132,6.5,1.23
2017,"Karnafully River CUFL side  Anowara, Ctg.",641,3/8/2017,30.4,7.9,5910,3216,2956,260,6.9,3.3
2017,"Karnafully River TSP Side, Patenga, Ctg.",642,3/8/2017,30.4,7.1,4040,2187,2021,166,6.1,2.75
2017,"Karnafully River CUFL side  Anowara, Ctg.",676,7/9/2017,29,7.9,12180,6580,6090,490,6.5,6.1
2017,"Karnafully River TSP Side, Patenga, Ctg.",677,7/9/2017,29,7.2,10160,5495,5080,415,6.1,5
2017,"Karnafully River CUFL side  Anowara, Ctg.",710,5/10/2017,29,7.9,12684,6850,6340,510,6.5,7.1
2017,"Karnafully River TSP Side, Patenga, Ctg.",711,5/10/2017,29,7.2,10426,5645,5210,435,7.3,6.2
2017,"Karnafully River CUFL side  Anowara, Ctg.",744,5/11/2017,25,8.1,13045,7010,6520,490,6.8,7.6
2017,"Karnafully River TSP Side, Patenga, Ctg.",745,5/11/2017,25,7.6,10170,5544,5089,455,6.1,5.9
2017,"Karnafully River CUFL side  Anowara, Ctg.",778,4/12/2017,22,6.5,12571,6798,6288,510,6.8,6.9
2017,"Karnafully River TSP Side, Patenga, Ctg.",779,4/12/2017,22,7.8,10338,5599,5167,432,6.1,6.1
2018,"Karnafully River CUFL side  Anowara, Ctg.",812,4/1/2018,21.5,8.6,20670,10516,10338,178,5.4,13.8
2018,"Karnafully River TSP Side, Patenga, Ctg.",813,4/1/2018,21.5,8.2,19776,10056,9890,166,5.9,12.7
2018,"Karnafully River CUFL side  Anowara, Ctg.",846,5/2/2018,25.8,7.8,24241,12333,12123,210,5.1,14.5
2018,"Karnafully River TSP Side, Patenga, Ctg.",847,5/2/2018,25.8,6.9,21728,11086,10865,221,5.8,12.9
2018,"Karnafully River TSP Side, Patenga, Ctg.",880,6/3/2018,26.6,7.7,26330,13546,13226,320,6.7,17.5
2018,"Karnafully River CUFL side  Anowara, Ctg.",881,6/3/2018,26.4,7.1,24990,12917,12570,347,5.2,16.7
2018,"Karnafully River CUFL side Anowara, Ctg.",914,5/4/2018,32.4,7.2,24923,12668,12467,201,5.6,17.1
2018,"Karnafully River TSP Side, Patenga, Ctg.",915,5/4/2018,32.4,8.1,22309,11374,11156,218,5.1,17.9
2018,"Karnafully River CUFL side  Anowara, Ctg.",948,7/5/2018,31.9,8,14100,7265,7054,211,6.6,6.9
2018,"Karnafully River TSP Side, Patenga, Ctg.",949,7/5/2018,31.8,7.8,10070,5302,5035,267,7.1,7.7
2018,"Karnafully River CUFL side  Anowara, Ctg.",982,4/6/2018,30.5,7.8,3442,2008,1740,268,5.9,4.8
2018,"Karnafully River TSP Side, Patenga, Ctg.",983,4/6/2018,30.9,7.1,3185,1826,1586,240,6.3,3.7
2018,"Karnafully River  CUFL side  Anowara, Ctg.",6,5/7/2018,30.8,7.8,4022,2255,2009,246,8.1,1.1
2018,"Karnafully River  TSP Side, Patenga, Ctg.",7,,30.6,7.1,2644,1697,1320,377,7,1.4
2018,"Karnafully River  Chaktai Khal, ctg.",8,,31.2,7.4,217,362,105,257,7.5,1.6
2018,"Karnafully River CUFL side  Anowara, Ctg.",38,6/8/2018,31.7,7.5,5880,3333,3070,263,8.8,1.7
2018,"Karnafully River TSP Side, Patenga, Ctg.",39,,31.6,7.6,3170,2224,1811,413,6.9,2.1
2018,"Karnafully River Chaktai Khal, ctg.",40,,31.7,7.7,209,374,111,389,7.3,1.9
2018,"Karnafully River CUFL side  Anowara, Ctg.",69,6/9/2018,30,6.5,11231,5877,5620,257,7.6,5.78
2018,"Karnafully River TSP Side, Patenga, Ctg.",70,,30.4,6.4,11063,5948,5540,408,7.5,5.68
2018,"Karnafully River Chaktai Khal, ctg.",71,,30.5,8.1,242.8,490,115.9,375,5.1,0.09
2018,"Karnafully River CUFL side  Anowara, Ctg.",100,4/10/2018,29.7,7.1,13029,6797,6510,287,7.9,5.86
2018,"Karnafully River TSP Side, Patenga, Ctg.",101,,29.1,6.8,13246,6987,6628,359,7.4,5.25
2018,"Karnafully River Chaktai Khal, ctg.",102,,29.5,8,328,479,160,319,5,0.11
2018,"Karnafully River CUFL side  Anowara, Ctg.",100,4/11/2018,27.8,7.9,15779,8160,7890,270,7.08,7.98
2018,"Karnafully River TSP Side, Patenga, Ctg.",101,,27.9,7.2,15568,8165,7780,385,7.7,7.86
2018,"Karnafully River Chaktai Khal, ctg.",102,,28.2,7.7,386,552,198,354,5.6,0.13
2018,"Karnafully River CUFL side  Anowara, Ctg.",162,5/12/2018,25.6,7.7,20090,13183,12860,323,7.2,13.49
2018,"Karnafully River TSP Side, Patenga, Ctg.",163,,25.4,7.6,15320,10132,9550,582,7.1,9.92
2018,"Karnafully River Chaktai Khal, ctg.",164,,25.4,7.5,402,547,205,342,5.1,0.21
2019,"Karnafully River CUFL side  Anowara, Ctg.",193,6/1/2019,26,7.9,33512,17056,16750,306,8.5,17.37
2019,"Karnafully River TSP Side, Patenga, Ctg.",194,,26.7,7.8,20869,10686,10430,256,7.5,10.85
2019,"Karnafully River Chaktai Khal, ctg.",195,,26.5,7.6,453,539,232,307,5.7,0.34
2019,"Karnafully River CUFL side  Anowara, Ctg.",224,5/2/2019,28.8,7.8,17932,9179,8960,219,8.2,9.29
2019,"Karnafully River TSP Side, Patenga, Ctg.",225,,28.7,8,7017,3670,3510,160,7.7,3.58
2019,"Karnafully River Chaktai Khal, ctg.",226,,28,7.5,418,490,212,278,5.9,0.42
2019,"Karnafully River CUFL side  Anowara, Ctg.",255,6/3/2019,31.3,7.9,17118,8769,8520,249,8.1,8.1
2019,"Karnafully River TSP Side, Patenga, Ctg.",256,,31.5,8.2,6729,3606,3434,172,7.5,3
2019,"Karnafully River Chaktai Khal, ctg.",257,,31,7.8,438,496,210,286,5.7,0.55
2019,"Karnafully River CUFL side  Anowara, Ctg.",285,4/4/2019,29,7,20840,13273,13080,193,6.5,13.7
2019,"Karnafully River TSP Side, Patenga, Ctg.",286,,30.2,7.1,11220,6780,6580,200,6,6.5
2019,"Karnafully River Chaktai Khal, ctg.",287,,29.2,6.8,768,496,405,353,4.5,0.4
2019,"Karnafully River CUFL side  Anowara, Ctg.",316,7/5/2019,29.6,7.1,21510,12852,12670,182,6.3,12.6
2019,"Karnafully River TSP Side, Patenga, Ctg.",317,,29.7,7.3,10717,6482,6290,192,6.1,5
2019,"Karnafully River Chaktai Khal, ctg.",318,,29.5,6.9,790,750,421,329,4.6,0.34
2019,"Karnafully River CUFL side  Anowara, Ctg.",350,12/6/2019,27.4,7.5,19678,10600,10440,160,8,9.4
2019,"Karnafully River TSP Side, Patenga, Ctg.",351,,27.5,7.5,13190,7622,7450,172,8.4,4.5
2019,"Karnafully River Chaktai Khal, ctg.",352,,27.6,7.6,810,715,435,280,6.1,0.3
2019,"Karnafully River CUFL side  Anowara, Ctg.",384,8/7/2019,28.8,7.6,2310,1522,1235,287,7.1,1.35
2019,"Karnafully River TSP Side, Patenga, Ctg.",385,,28.3,7.9,97.6,232,48.3,184,7.7,0.05
2019,"Karnafully River Chaktai Khal, ctg.",386,,28.4,7.7,162.8,715,81.2,280,6.1,0.3
2019,"Karnafully River CUFL side  Anowara, Ctg.",417,6/8/2019,29,8.1,1360,979,727.9,252,5.09,0.73
2019,"Karnafully River TSP Side, Patenga, Ctg.",418,,29.2,8.8,128.9,135,69,66,4.59,0.07
2019,"Karnafully River Chaktai Khal, ctg.",419,,29.6,8.4,360,367,191.9,176,4.2,0.19
