Year,Sample Location,Temp,PH,EC(µS/cm),TS(mg/l),TDS(mg/l),SS(mg/l),DO(mg/l),Salinity(%),month
2017,CUFL,22.2,8.1,20450,10414,10228,186,5.6,14.2,1
2017,TSP,22.2,7.9,19984,10190,9992,198,6.1,13.8,1
2017,CUFL,21.1,7.3,22580,11494,11292,202,4.8,14.8,2
2017,TSP,21.1,7.9,21356,10906,10678,228,5.4,13.6,2
2017,TSP,25.6,7.3,26330,13476,13168,308,6.1,17.2,3
2017,CUFL,25.4,7.5,24990,12838,12496,342,5.9,16.4,3
2017,CUFL,31.4,7.6,24280,12410,12144,266,5.2,17.4,4
2017,TSP,31.4,8.4,22192,11344,11096,248,4.7,17.1,4
2017,CUFL,25.8,7.6,6064,3252,3032,220,6.8,7.4,5
2017,TSP,25.8,7.4,5352,2974,2676,298,6.6,7.3,5
2017,CUFL,30.3,7.2,2050,1268,1026,242,6.5,3.1,6
2017,TSP,30.1,7.7,2456,1456,1228,228,6.7,2.6,6
2017,CUFL,28.7,6.8,2110,1276,1066,210,6.2,1.55,7
2017,TSP,28.6,7.2,1523,897,765,132,6.5,1.23,7
2017,CUFL,30.4,7.9,5910,3216,2956,260,6.9,3.3,8
2017,TSP,30.4,7.1,4040,2187,2021,166,6.1,2.75,8
2017,CUFL,29,7.9,12180,6580,6090,490,6.5,6.1,9
2017,TSP,29,7.2,10160,5495,5080,415,6.1,5,9
2017,CUFL,29,7.9,12684,6850,6340,510,6.5,7.1,10
2017,TSP,29,7.2,10426,5645,5210,435,7.3,6.2,10
2017,CUFL,25,8.1,13045,7010,6520,490,6.8,7.6,11
2017,TSP,25,7.6,10170,5544,5089,455,6.1,5.9,11
2017,CUFL,22,6.5,12571,6798,6288,510,6.8,6.9,12
2017,TSP,22,7.8,10338,5599,5167,432,6.1,6.1,12
2018,CUFL,21.5,8.6,20670,10516,10338,178,5.4,13.8,1
2018,TSP,21.5,8.2,19776,10056,9890,166,5.9,12.7,1
